claim_id,bangla_claim,gold_evidence_ids,bge_hit@10,labse_hit@10,bge_top10,labse_top10
C0005,নবী মুহাম্মদ (সা.) সূর্য অস্ত যাওয়ার সাথে সাথে মাগরিবের নামাজ আদায় করতেন।,"['muslim_1440', 'muslim_1430', 'muslim_1926', 'muslim_1921', 'bukhari_641']",False,True,"['bukhari_561', 'bukhari_5785', 'muslim_636', 'bukhari_560', 'bukhari_1059', 'bukhari_1629', 'muslim_909', 'muslim_825', 'bukhari_1063', 'bukhari_1051']","['bukhari_2000', 'bukhari_845', 'bukhari_1000', 'bukhari_641', 'bukhari_565', 'bukhari_904', 'bukhari_1799', 'muslim_636', 'bukhari_560', 'bukhari_941']"
C0010,"রাসূলুল্লাহ বলেছেন, তিনি সুলায়মান ইবনে বিলালের মাধ্যমে ইয়াহিয়ার মতোই কথা উল্লেখ করেছেন।","['muslim_4124', 'muslim_3889', 'muslim_3759', 'muslim_5887', 'muslim_4501']",True,False,"['muslim_1735', 'bukhari_3375', 'muslim_6302', 'bukhari_3535', 'muslim_1841', 'muslim_2566', 'muslim_2562', 'bukhari_3735', 'muslim_6825', 'muslim_4124']","['muslim_812', 'bukhari_6153', 'bukhari_1836', 'bukhari_1105', 'muslim_6900', 'muslim_1943', 'bukhari_4134', 'bukhari_6168', 'bukhari_3740', 'bukhari_3741']"
C0013,"আমি রাসূলকে জিজ্ঞাসা করেছিলাম যে, ইবনে জুদ'আন জাহেলিয়াতের সময় আত্মীয়তার সম্পর্ক বজায় রাখতেন এবং অভাবীদের খাবার দিতেন। রাসূল বললেন, এটা তাকে কোনো উপকার করবে না, কারণ তিনি কখনো বলেননি, ""হে আমার প্রভু, কিয়ামতের দিনে আমার পাপ ক্ষমা করো।""","['muslim_518', 'muslim_3079', 'muslim_5707', 'muslim_6901', 'muslim_2714']",False,True,"['muslim_214', 'bukhari_7376', 'muslim_1973', 'bukhari_953', 'bukhari_5386', 'bukhari_675', 'bukhari_2576', 'bukhari_4837', 'bukhari_702', 'bukhari_4836']","['bukhari_4913', 'bukhari_6706', 'muslim_518', 'bukhari_5249', 'muslim_3692', 'muslim_214', 'bukhari_7152', 'muslim_6835', 'bukhari_2244', 'bukhari_1980']"
C0026,"রাসূলুল্লাহ (সা.) বলেছেন, কিয়ামত আসবে না যতক্ষণ না পৃথিবীতে আল্লাহর নাম বলা বন্ধ হয়ে যাবে।","['muslim_375', 'muslim_7410', 'muslim_7257', 'muslim_376', 'muslim_4958']",False,True,"['bukhari_3608', 'bukhari_4635', 'bukhari_6935', 'muslim_7278', 'bukhari_2476', 'bukhari_6056', 'bukhari_7118', 'bukhari_6661', 'bukhari_7446', 'bukhari_3590']","['bukhari_1907', 'muslim_375', 'bukhari_601', 'bukhari_2817', 'bukhari_1906', 'bukhari_116', 'bukhari_564', 'bukhari_7115', 'bukhari_1593', 'bukhari_953']"
C0033,"নবীজি বলেছেন, সব মদই হারাম এবং যে ব্যক্তি এই দুনিয়ায় মদ পান করে এবং মৃত্যুর আগে তা ছাড়ে না, সে আখিরাতে তা পান করবে না।","['muslim_5218', 'muslim_5219', 'muslim_5221', 'muslim_5224', 'muslim_5222']",False,True,"['bukhari_5575', 'bukhari_242', 'bukhari_5628', 'bukhari_5585', 'bukhari_5832', 'bukhari_4497', 'bukhari_5601', 'bukhari_5587', 'bukhari_5506', 'bukhari_1365']","['bukhari_5575', 'bukhari_239', 'muslim_5218', 'muslim_1982', 'muslim_5222', 'muslim_6772', 'bukhari_5633', 'muslim_5207', 'bukhari_853', 'muslim_656']"
C0038,"কুফার লোকেরা এই আয়াত নিয়ে বিতর্ক করেছিল। আমি ইবন আব্বাসের কাছে গিয়েছিলাম এবং তিনি বললেন, এটি শেষ সময়ে অবতীর্ণ হয়েছে এবং এর কোনো পরিবর্তন হয়নি।","['muslim_7541', 'bukhari_4590', 'muslim_7543', 'muslim_7545', 'bukhari_4766']",False,True,"['bukhari_724', 'bukhari_4763', 'bukhari_5005', 'muslim_3204', 'muslim_453', 'muslim_2950', 'muslim_7265', 'muslim_4912', 'muslim_2399', 'muslim_4226']","['bukhari_4590', 'bukhari_4763', 'muslim_7478', 'muslim_3147', 'bukhari_4544', 'muslim_3834', 'muslim_4845', 'bukhari_5036', 'muslim_3135', 'muslim_6400']"
C0065,"আমি শুনেছি, নবী (সা.) আবদুল্লাহ বিন হুদাফা বিন কিস বিন আদীকে একটি বিশেষ মিশনে পাঠিয়েছিলেন। তিনি আমাদেরকে আল্লাহ ও তাঁর রাসূলের নির্দেশ পালন করতে বলেছেন।","['muslim_4746', 'bukhari_4584', 'muslim_3410', 'muslim_314', 'muslim_7219']",True,False,"['bukhari_7156', 'bukhari_4584', 'bukhari_2157', 'bukhari_3112', 'bukhari_2715', 'bukhari_221', 'bukhari_7144', 'bukhari_1678', 'bukhari_57', 'bukhari_6654']","['muslim_1133', 'bukhari_1570', 'bukhari_7033', 'muslim_3393', 'muslim_519', 'bukhari_3345', 'muslim_2613', 'bukhari_5980', 'muslim_6387', 'bukhari_2243']"
C0073,"একজন ব্যক্তি রাসূলুল্লাহ (সা.)-এর কাছে এসে বললেন, তিনি খুব ক্লান্ত। রাসূল (সা.) তাঁর স্ত্রীদের কাছে খাবারের জন্য পাঠালেন, কিন্তু সবাই বললেন, তাদের কাছে শুধু পানি আছে। তখন একজন আনসারী বললেন, তিনি অতিথিকে রাতের খাবার দেবেন এবং তাঁর স্ত্রীকে বললেন, শিশুদের খাবার দিয়ে অতিথিকে দেখাতে হবে যেন মনে হয় তারা খাচ্ছে। পরদিন রাসূল (সা.) বললেন, আল্লাহ তাদের এই অতিথিপরায়ণতা দেখে বিস্মিত হয়েছেন।","['muslim_5359', 'bukhari_4889', 'muslim_5362', 'muslim_885', 'muslim_4622']",False,True,"['bukhari_6080', 'bukhari_670', 'bukhari_1179', 'muslim_2569', 'muslim_1727', 'bukhari_380', 'bukhari_2456', 'bukhari_5616', 'bukhari_2081', 'bukhari_860']","['bukhari_4889', 'bukhari_5613', 'bukhari_2081', 'bukhari_5461', 'bukhari_1179', 'bukhari_1915', 'bukhari_2466', 'bukhari_5621', 'bukhari_6822', 'bukhari_6009']"
C0086,"আমি শুনেছি, নবী মুহাম্মদ (সা.) একটি চামড়ার তাঁবুর মধ্যে ছিলেন এবং সেখানে কিছু কথা বলেছিলেন।","['muslim_2301', 'muslim_2025', 'muslim_4742', 'muslim_1119', 'bukhari_5860']",True,False,"['bukhari_5860', 'bukhari_1841', 'bukhari_204', 'bukhari_5839', 'bukhari_3802', 'bukhari_429', 'bukhari_6214', 'bukhari_2865', 'bukhari_405', 'bukhari_2921']","['muslim_4758', 'muslim_5188', 'muslim_3995', 'muslim_5400', 'muslim_4406', 'bukhari_6034', 'bukhari_2471', 'bukhari_4842', 'bukhari_1223', 'bukhari_765']"
C0092,"আমি শুনেছি, রাসূলুল্লাহ (সা.) বলেছেন যে, এক ব্যক্তি যিনি ইসলাম দাবি করেন, তিনি জাহান্নামের লোক। যুদ্ধের সময় সেই ব্যক্তি অত্যন্ত সাহসিকতার সাথে লড়াই করেন এবং গুরুতর আহত হন। কিন্তু পরে তিনি আত্মহত্যা করেন, এবং রাসূল (সা.) বলেন, ""আল্লাহ এই ধর্মকে মন্দ লোকের মাধ্যমে সাহায্য করেন।""","['bukhari_6606', 'muslim_305', 'bukhari_4203', 'muslim_306', 'bukhari_3062']",False,True,"['bukhari_1365', 'bukhari_6652', 'bukhari_123', 'bukhari_2808', 'bukhari_2829', 'bukhari_5733', 'bukhari_2803', 'bukhari_3126', 'muslim_7253', 'bukhari_2787']","['bukhari_4203', 'bukhari_6048', 'muslim_111', 'bukhari_6875', 'bukhari_3593', 'bukhari_2808', 'bukhari_2787', 'muslim_305', 'bukhari_1363', 'bukhari_1364']"
