claim_id,bangla_claim,gold_evidence_ids,translation_hit@10,bge_hit@10,translation_top10,bge_top10
C0004,"নবী মুহাম্মদ (সাল্লাল্লাহু আলাইহি ওয়াসাল্লাম) বলেছেন, যখন দুই ব্যক্তি একটি লেনদেন সম্পন্ন করে, তখন তারা একে অপরের থেকে আলাদা না হওয়া পর্যন্ত বা তাদের লেনদেনের ক্ষেত্রে কোনো শর্ত না থাকলে, উভয়েরই লেনদেন বাতিল করার অধিকার থাকে।","['muslim_3856', 'muslim_3855', 'bukhari_2112', 'muslim_3853', 'bukhari_2111']",False,True,"['bukhari_2079', 'muslim_2644', 'bukhari_1813', 'muslim_6544', 'muslim_6545', 'bukhari_6052', 'bukhari_6290', 'bukhari_5820', 'muslim_2665', 'muslim_1752']","['bukhari_2082', 'bukhari_2112', 'bukhari_2111', 'bukhari_2109', 'bukhari_2110', 'bukhari_2079', 'bukhari_2107', 'bukhari_2113', 'bukhari_2108', 'bukhari_368']"
C0007,"আমি দেখেছি, রাসূলুল্লাহ সাল্লাল্লাহু আলাইহি ওয়াসাল্লাম নামাজ পড়ার সময় আমার সামনে ছিলেন। যখন তিনি সিজদা করতে চেয়েছিলেন, তখন তিনি আমার পায়ে আলতো করে চাপ দিলেন, আর আমি পা সরিয়ে নিলাম, তারপর তিনি সিজদা করলেন।","['bukhari_519', 'muslim_1142', 'muslim_6025', 'muslim_949', 'muslim_1543']",True,False,"['bukhari_519', 'bukhari_513', 'muslim_1816', 'muslim_2969', 'muslim_832', 'bukhari_1209', 'muslim_486', 'bukhari_809', 'bukhari_4128', 'bukhari_6771']","['bukhari_3284', 'bukhari_823', 'bukhari_379', 'muslim_2820', 'bukhari_419', 'bukhari_845', 'bukhari_6276', 'bukhari_825', 'bukhari_790', 'bukhari_1130']"
C0009,"রাসূলুল্লাহ (সাল্লাল্লাহু আলাইহি ওয়া সাল্লাম) বলেছেন, গম ও খেজুরের ক্ষেত্রে পাঁচ উসুক না হওয়া পর্যন্ত যাকাত দেওয়া বাধ্যতামূলক নয়, রৌপ্যের ক্ষেত্রে পাঁচ ওকিয়া না হওয়া পর্যন্ত যাকাত দেওয়া বাধ্যতামূলক নয় এবং উটের ক্ষেত্রে পাঁচটি না হওয়া পর্যন্ত যাকাত দেওয়া বাধ্যতামূলক নয়।","['muslim_2268', 'muslim_2263', 'bukhari_1484', 'muslim_2266', 'bukhari_1459']",False,True,"['bukhari_1454', 'muslim_1537', 'bukhari_4616', 'bukhari_5581', 'bukhari_4619', 'bukhari_5589', 'bukhari_2339', 'bukhari_1829', 'bukhari_3314', 'bukhari_4513']","['bukhari_1459', 'bukhari_1405', 'muslim_980', 'bukhari_1828', 'bukhari_3315', 'bukhari_1826', 'bukhari_1829', 'bukhari_1447', 'bukhari_1455', 'bukhari_3314']"
C0010,"রাসূলুল্লাহ বলেছেন, তিনি সুলায়মান ইবনে বিলালের মাধ্যমে ইয়াহিয়ার মতোই কথা উল্লেখ করেছেন।","['muslim_4124', 'muslim_3889', 'muslim_3759', 'muslim_5887', 'muslim_4501']",False,True,"['bukhari_7247', 'muslim_796', 'bukhari_468', 'bukhari_5018', 'bukhari_2988', 'bukhari_5514', 'bukhari_397', 'bukhari_603', 'bukhari_504', 'bukhari_2191']","['muslim_1735', 'bukhari_3375', 'muslim_6302', 'bukhari_3535', 'muslim_1841', 'muslim_2566', 'muslim_2562', 'bukhari_3735', 'muslim_6825', 'muslim_4124']"
C0027,"নবী সাল্লাল্লাহু আলাইহি ওয়া সাল্লাম বলেছেন যে, ফল বিক্রি করা উচিত নয় যতক্ষণ না তা পাকা হয়। তিনি আরও বলেছেন যে, ফলের বিক্রয় শুধুমাত্র দিরহাম ও দিনার দিয়ে হতে পারে, তবে কিছু বিশেষ ক্ষেত্রে এটি ভিন্ন হতে পারে।","['bukhari_2189', 'muslim_3908', 'bukhari_2381', 'muslim_3878', 'muslim_3910']",False,True,"['bukhari_2173', 'bukhari_2172', 'bukhari_5602', 'bukhari_6980', 'bukhari_6976', 'muslim_2050', 'muslim_2474', 'bukhari_6427', 'bukhari_2347', 'bukhari_2346']","['bukhari_2189', 'bukhari_2196', 'bukhari_2133', 'bukhari_2194', 'bukhari_1488', 'bukhari_2184', 'bukhari_2183', 'bukhari_2381', 'bukhari_1487', 'bukhari_2197']"
C0034,"আমি শুনেছি যে রাসূলুল্লাহ (সা.) বলেছেন, কুরাইশের নারীরা সেরা নারী যারা উটের পিঠে চড়ে, তারা তাদের সন্তানদের প্রতি সবচেয়ে মমতাময়ী এবং স্বামীদের প্রতি সবচেয়ে যত্নশীল। আবু হুরাইরা (রা.) এ কথা বলেছেন এবং তিনি উল্লেখ করেছেন যে, মেরিম (আ.) কখনো উটের পিঠে চড়েননি।","['muslim_6458', 'bukhari_3434', 'muslim_6456', 'muslim_6460', 'bukhari_5365']",False,True,"['muslim_1489', 'muslim_2007', 'bukhari_5194', 'muslim_2491', 'muslim_2754', 'muslim_3725', 'muslim_3727', 'muslim_3726', 'bukhari_5336', 'muslim_2503']","['bukhari_3434', 'bukhari_5082', 'bukhari_5365', 'bukhari_2566', 'bukhari_3432', 'bukhari_3433', 'bukhari_4758', 'bukhari_3815', 'bukhari_3331', 'bukhari_3495']"
C0038,"কুফার লোকেরা এই আয়াত নিয়ে বিতর্ক করেছিল। আমি ইবন আব্বাসের কাছে গিয়েছিলাম এবং তিনি বললেন, এটি শেষ সময়ে অবতীর্ণ হয়েছে এবং এর কোনো পরিবর্তন হয়নি।","['muslim_7541', 'bukhari_4590', 'muslim_7543', 'muslim_7545', 'bukhari_4766']",True,False,"['bukhari_4590', 'muslim_1195', 'bukhari_2684', 'muslim_1049', 'muslim_1948', 'muslim_1693', 'muslim_2357', 'bukhari_5249', 'bukhari_2098', 'bukhari_668']","['bukhari_724', 'bukhari_4763', 'bukhari_5005', 'muslim_3204', 'muslim_453', 'muslim_2950', 'muslim_7265', 'muslim_4912', 'muslim_2399', 'muslim_4226']"
C0040,"নবীজি সাল্লাল্লাহু আলাইহি ওয়াসাল্লাম বলেছেন, যখন কেউ চারটি শাখার মাঝে বসে এবং চেষ্টা করে, তখন তার জন্য গোসল করা আবশ্যক।","['muslim_783', 'muslim_785', 'bukhari_291', 'muslim_3855', 'muslim_6427']",False,True,"['muslim_349', 'muslim_2498', 'muslim_446', 'muslim_405', 'muslim_666', 'muslim_163', 'muslim_2477', 'bukhari_1301', 'muslim_1235', 'muslim_407']","['bukhari_809', 'bukhari_291', 'bukhari_3295', 'bukhari_161', 'bukhari_162', 'muslim_238', 'bukhari_360', 'bukhari_2473', 'bukhari_444', 'bukhari_212']"
C0058,"আমি শুনেছি, রাসূলুল্লাহ (সা.) আবান বিন সাঈদকে একটি মিশনে পাঠিয়েছিলেন এবং যখন আবান ও তার সঙ্গীরা খায়বারে পৌঁছান, তখন রাসূল (সা.) তাদের জন্য কিছু বিতরণ করেননি।","['bukhari_4238', 'muslim_7027', 'muslim_6207', 'muslim_4589', 'muslim_4081']",True,False,"['bukhari_4238', 'bukhari_4239', 'bukhari_4415', 'bukhari_6678', 'bukhari_6574', 'bukhari_3766', 'bukhari_5249', 'bukhari_2267', 'muslim_1732', 'bukhari_4889']","['bukhari_209', 'bukhari_6723', 'bukhari_4233', 'bukhari_5454', 'bukhari_6470', 'bukhari_2981', 'bukhari_4195', 'bukhari_5384', 'muslim_1732', 'bukhari_2302']"
C0065,"আমি শুনেছি, নবী (সা.) আবদুল্লাহ বিন হুদাফা বিন কিস বিন আদীকে একটি বিশেষ মিশনে পাঠিয়েছিলেন। তিনি আমাদেরকে আল্লাহ ও তাঁর রাসূলের নির্দেশ পালন করতে বলেছেন।","['muslim_4746', 'bukhari_4584', 'muslim_3410', 'muslim_314', 'muslim_7219']",False,True,"['bukhari_4632', 'bukhari_7524', 'bukhari_5266', 'muslim_834', 'bukhari_3421', 'bukhari_1662', 'bukhari_4718', 'muslim_2490', 'bukhari_4856', 'bukhari_3112']","['bukhari_7156', 'bukhari_4584', 'bukhari_2157', 'bukhari_3112', 'bukhari_2715', 'bukhari_221', 'bukhari_7144', 'bukhari_1678', 'bukhari_57', 'bukhari_6654']"
