claim_id,bangla_claim,gold_evidence_ids,top1_evidence_id,top10_evidence_ids
C0001,"আমি শুনেছি যে, যদি কেউ ইতিকাফে থাকে, তবে সে শুধুমাত্র প্রাকৃতিক প্রয়োজনের জন্যই বাইরে যেতে পারে। তবে কেউ কেউ মনে করেন যে, ইতিকাফকারী যদি শর্ত করে, তাহলে সে অসুস্থ ব্যক্তিকে দেখতে যেতে পারে এবং জানাজায় অংশ নিতে পারে।","['muslim_4871', 'muslim_6799', 'muslim_3081', 'muslim_451', 'muslim_2306']",muslim_4249,"['muslim_4249', 'bukhari_4867', 'bukhari_5037.2', 'bukhari_2944', 'muslim_5547', 'muslim_3576', 'muslim_986', 'muslim_2709', 'muslim_3612', 'muslim_5428']"
C0003,"নবী সাল্লাল্লাহু আলাইহি ওয়াসাল্লাম শুক্রবারের নামাজে ""সাব্বিহিসমা রাব্বিকাল আ'লা"" এবং ""হাল আতাকাহা হাদিসুল গাশিয়াহ"" সূরাগুলি তিলাওয়াত করতেন।","['muslim_2028', 'muslim_1030', 'muslim_2031', 'muslim_2030', 'muslim_2035']",bukhari_6145,"['bukhari_6145', 'muslim_6970', 'muslim_618', 'muslim_471', 'muslim_4910', 'muslim_3357', 'muslim_6136', 'muslim_848', 'bukhari_6791', 'muslim_2762']"
C0004,"নবী মুহাম্মদ (সাল্লাল্লাহু আলাইহি ওয়াসাল্লাম) বলেছেন, যখন দুই ব্যক্তি একটি লেনদেন সম্পন্ন করে, তখন তারা একে অপরের থেকে আলাদা না হওয়া পর্যন্ত বা তাদের লেনদেনের ক্ষেত্রে কোনো শর্ত না থাকলে, উভয়েরই লেনদেন বাতিল করার অধিকার থাকে।","['muslim_3856', 'muslim_3855', 'bukhari_2112', 'muslim_3853', 'bukhari_2111']",bukhari_297,"['bukhari_297', 'bukhari_1069', 'muslim_6746', 'muslim_1985', 'bukhari_1923', 'muslim_3822', 'bukhari_415', 'bukhari_3122', 'bukhari_921', 'muslim_483']"
C0005,নবী মুহাম্মদ (সা.) সূর্য অস্ত যাওয়ার সাথে সাথে মাগরিবের নামাজ আদায় করতেন।,"['muslim_1440', 'muslim_1430', 'muslim_1926', 'muslim_1921', 'bukhari_641']",muslim_471,"['muslim_471', 'muslim_6970', 'muslim_6136', 'muslim_6429', 'muslim_5211', 'muslim_5962', 'muslim_4866', 'muslim_5655', 'bukhari_158', 'bukhari_6791']"
C0007,"আমি দেখেছি, রাসূলুল্লাহ সাল্লাল্লাহু আলাইহি ওয়াসাল্লাম নামাজ পড়ার সময় আমার সামনে ছিলেন। যখন তিনি সিজদা করতে চেয়েছিলেন, তখন তিনি আমার পায়ে আলতো করে চাপ দিলেন, আর আমি পা সরিয়ে নিলাম, তারপর তিনি সিজদা করলেন।","['bukhari_519', 'muslim_1142', 'muslim_6025', 'muslim_949', 'muslim_1543']",muslim_6746,"['muslim_6746', 'muslim_1985', 'muslim_3876', 'bukhari_3322', 'bukhari_297', 'muslim_3834', 'muslim_3822', 'muslim_3671', 'muslim_514', 'muslim_3811']"
C0008,"নবী মুহাম্মদ (সাল্লাল্লাহু আলাইহি ওয়া সাল্লাম) বলেছেন যে, কোনো ব্যক্তি যদি একটি পশু কিনতে একশো দিনার দিতে চায় এবং এর জন্য দুই দিনার অগ্রিম দেয়, তবে যদি সে পশুটি না কেনে, তবে সেই দুই দিনার বিক্রেতার হয়ে যাবে।","['muslim_3883', 'muslim_3788', 'muslim_3878', 'muslim_6514', 'muslim_3910']",bukhari_297,"['bukhari_297', 'bukhari_1923', 'muslim_6746', 'bukhari_6996', 'bukhari_1069', 'bukhari_415', 'muslim_1985', 'muslim_483', 'muslim_3822', 'bukhari_5510']"
C0009,"রাসূলুল্লাহ (সাল্লাল্লাহু আলাইহি ওয়া সাল্লাম) বলেছেন, গম ও খেজুরের ক্ষেত্রে পাঁচ উসুক না হওয়া পর্যন্ত যাকাত দেওয়া বাধ্যতামূলক নয়, রৌপ্যের ক্ষেত্রে পাঁচ ওকিয়া না হওয়া পর্যন্ত যাকাত দেওয়া বাধ্যতামূলক নয় এবং উটের ক্ষেত্রে পাঁচটি না হওয়া পর্যন্ত যাকাত দেওয়া বাধ্যতামূলক নয়।","['muslim_2268', 'muslim_2263', 'bukhari_1484', 'muslim_2266', 'bukhari_1459']",bukhari_5704,"['bukhari_5704', 'bukhari_5501', 'muslim_2086', 'bukhari_3322', 'bukhari_707', 'bukhari_5345', 'bukhari_5681', 'bukhari_5680', 'bukhari_1534', 'bukhari_4545']"
C0010,"রাসূলুল্লাহ বলেছেন, তিনি সুলায়মান ইবনে বিলালের মাধ্যমে ইয়াহিয়ার মতোই কথা উল্লেখ করেছেন।","['muslim_4124', 'muslim_3889', 'muslim_3759', 'muslim_5887', 'muslim_4501']",muslim_495,"['muslim_495', 'muslim_3834', 'muslim_2207', 'muslim_6746', 'muslim_3862', 'muslim_3265', 'muslim_4406', 'bukhari_284', 'muslim_1985', 'bukhari_3322']"
C0013,"আমি রাসূলকে জিজ্ঞাসা করেছিলাম যে, ইবনে জুদ'আন জাহেলিয়াতের সময় আত্মীয়তার সম্পর্ক বজায় রাখতেন এবং অভাবীদের খাবার দিতেন। রাসূল বললেন, এটা তাকে কোনো উপকার করবে না, কারণ তিনি কখনো বলেননি, ""হে আমার প্রভু, কিয়ামতের দিনে আমার পাপ ক্ষমা করো।""","['muslim_518', 'muslim_3079', 'muslim_5707', 'muslim_6901', 'muslim_2714']",bukhari_3322,"['bukhari_3322', 'muslim_6746', 'muslim_3876', 'muslim_1985', 'muslim_2822', 'muslim_3671', 'bukhari_5396', 'muslim_5964', 'muslim_1280', 'bukhari_288']"
C0014,"রাসুলুল্লাহ (সাল্লাল্লাহু আলাইহি ওয়াসাল্লাম) বলেছেন, যে ব্যক্তি রমজান মাসে ইমানের সাথে রাত জাগবে, তার পূর্বের সব গুনাহ মাফ করা হবে। এবং যে ব্যক্তি লাইলাতুল কদরে ইমানের সাথে রাত জাগবে, তারও পূর্বের সব গুনাহ মাফ করা হবে।","['muslim_1781', 'bukhari_1901', 'bukhari_2014', 'muslim_1780', 'bukhari_37']",bukhari_1162,"['bukhari_1162', 'muslim_575', 'bukhari_4805', 'bukhari_6056', 'muslim_4845', 'muslim_6429', 'muslim_656', 'muslim_3514', 'muslim_6136', 'bukhari_5257']"
