Comparison,System A,System B,k,System A Recall,System B Recall,Difference B-A,CI low,CI high
Language: English BM25 → Direct Bangla BM25,English BM25,Direct Bangla BM25,1,0.34787018255578095,0.0,-0.34787018255578095,-0.3772819472616633,-0.3184584178498986
Language: English BM25 → Direct Bangla BM25,English BM25,Direct Bangla BM25,5,0.5162271805273834,0.0010141987829614604,-0.5152129817444219,-0.5476673427991886,-0.48580121703853957
Language: English BM25 → Direct Bangla BM25,English BM25,Direct Bangla BM25,10,0.552738336713996,0.0030425963488843813,-0.5496957403651116,-0.5821501014198782,-0.5182555780933064
Translation: Direct Bangla BM25 → Qwen 2.5-3B → English BM25,Direct Bangla BM25,Qwen 2.5-3B → English BM25,1,0.0,0.26369168356997974,0.26369168356997974,0.23529411764705882,0.29107505070993916
Translation: Direct Bangla BM25 → Qwen 2.5-3B → English BM25,Direct Bangla BM25,Qwen 2.5-3B → English BM25,5,0.0010141987829614604,0.39858012170385393,0.3975659229208925,0.36612576064908725,0.4300202839756592
Translation: Direct Bangla BM25 → Qwen 2.5-3B → English BM25,Direct Bangla BM25,Qwen 2.5-3B → English BM25,10,0.0030425963488843813,0.4421906693711968,0.4391480730223124,0.4077079107505071,0.4716024340770791
Dense: BGE-M3 → mE5-Large,BGE-M3 Direct Bangla,mE5-Large Direct Bangla,1,0.30831643002028397,0.268762677484787,-0.03955375253549698,-0.06389452332657197,-0.015212981744421927
Dense: BGE-M3 → mE5-Large,BGE-M3 Direct Bangla,mE5-Large Direct Bangla,5,0.4462474645030426,0.39858012170385393,-0.04766734279918866,-0.06896551724137928,-0.027383367139959425
Dense: BGE-M3 → mE5-Large,BGE-M3 Direct Bangla,mE5-Large Direct Bangla,10,0.4787018255578093,0.45030425963488846,-0.028397565922920864,-0.0486815415821501,-0.008113590263691683
Dense: BGE-M3 → LaBSE,BGE-M3 Direct Bangla,LaBSE Direct Bangla,1,0.30831643002028397,0.3448275862068966,0.0365111561866126,0.00910243407707909,0.06389452332657203
Dense: BGE-M3 → LaBSE,BGE-M3 Direct Bangla,LaBSE Direct Bangla,5,0.4462474645030426,0.5010141987829615,0.054766734279918905,0.02941176470588236,0.08012170385395534
Dense: BGE-M3 → LaBSE,BGE-M3 Direct Bangla,LaBSE Direct Bangla,10,0.4787018255578093,0.5496957403651116,0.07099391480730227,0.046653144016227166,0.0963488843813387
Dense: BGE-M3 → MiniLM,BGE-M3 Direct Bangla,MiniLM Direct Bangla,1,0.30831643002028397,0.0,-0.30831643002028397,-0.33772819472616633,-0.2789046653144016
Dense: BGE-M3 → MiniLM,BGE-M3 Direct Bangla,MiniLM Direct Bangla,5,0.4462474645030426,0.0,-0.4462474645030426,-0.4766734279918864,-0.4158215010141988
Dense: BGE-M3 → MiniLM,BGE-M3 Direct Bangla,MiniLM Direct Bangla,10,0.4787018255578093,0.004056795131845842,-0.4746450304259635,-0.5061105476673429,-0.4421906693711968
